Matthew Trebing
Dr. Stringfellow
OOp Program 2



Rocks Collected	    Position	 Distance (in Miles)

	21	      (1,1)		1.41
	24	      (4,5)		5.00
	20	      (11,10)		8.60
	23	      (14,13)		4.24
	27	      (14,14)		1.00
	26	      (19,13)		5.10
	22	      (25,26)		14.32
	29	      (17,38)		14.42
	9	      (10,50)		13.89
	5	      (30,45)		20.62
	16	      (42,35)		15.62
	4	      (50,50)		17.00
	3	      (40,60)		14.14
	8	      (40,70)		10.00
	11	      (30,65)		11.18
	10	      (20,70)		11.18
	12	      (19,77)		7.07
	30	      (7,77)		12.00
	13	      (2,92)		15.81
	14	      (12,98)		11.66
	15	      (16,93)		6.40
	2	      (60,90)		44.10
	17	      (77,98)		18.79
	7	      (100,100)		23.09
	6	      (85,75)		29.15
	28	      (62,37)		44.42
	19	      (65,26)		11.40
	18	      (65,25)		1.00
	25	      (62,19)		6.71
	1	      (80,30)		21.10

Total distance covered: 411.0 miles

