Matthew Trebing
Dr. Stringfellow
OOp Program 2



Rocks Collected	    Position	 Distance (in Miles)

	1	      (4,5)		6.40
	2	      (5,10)		5.10
	8	      (0,10)		5.00
	3	      (20,30)		28.28
	4	      (30,40)		14.14
	14	      (30,45)		5.00
	12	      (40,60)		18.03
	17	      (40,70)		10.00
	20	      (30,65)		11.18
	19	      (20,70)		11.18
	18	      (10,50)		22.36
	13	      (50,50)		40.00
	5	      (60,70)		22.36
	7	      (50,80)		14.14
	11	      (60,90)		14.14
	9	      (75,75)		21.21
	15	      (85,75)		10.00
	6	      (100,50)		29.15
	10	      (80,30)		28.28
	16	      (100,100)		72.80

Total distance covered: 385.0 miles

